OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
87066;04898;Route de La-Chapelle;Dérogation 2R;2016;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;50.5727816201795
87067;04898;Route de La-Chapelle;Dérogation 2R;2016;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;56.715023434853194
87068;04898;Route de La-Chapelle;Dérogation 2R;2016;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;88.95814910409719
87383;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;69.4791936504778
87384;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;51.2445069318736
87386;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;67.33021897474781
87387;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;66.0503307002167
87388;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;129.877201477855
87389;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;88.9559565471963
87393;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;26.813687979155397
87394;;  ;Piste;2016;unidirectionnelle;dans le sens;mixité piétons;;90.8079937045865
56749;13153;Route des Jeunes;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;75.5144285405126
56750;13153;Route des Jeunes;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;116.368229798806
57220;15482;Route de Meyrin;Piste;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;290.549622294409
57221;15482;Route de Meyrin;Piste;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;122.614838437527
57222;15482;Route de Meyrin;Piste;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.587082561385394
57223;15482;Route de Meyrin;Piste;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;29.1975806640837
57224;15482;Route de Meyrin;Piste;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;251.216224502002
57225;15482;Route de Meyrin;Piste;2011;bidirectionnelle; ;mixité piétons;;6.146063780990239
57226;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;151.981587378108
57227;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;48.4250050501732
57228;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.623219850873799
57230;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;266.387973720378
57231;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;2.7014810752622296
57232;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;332.876598358958
57233;15482;Route de Meyrin;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;304.321635782441
