COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Confignon;Cressy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cressy.JPG;287.0;37.0;26.0;32.0;34.0;44.0;33.0;45.0;36.0;13.0;283.0;13.0;294.0;14.0;303.0;14.0;298.0;14.0;284.0;14.0;314.0;15.0;313.0;16.0;2330.883159;335.94407877171403
Bernex;Lully;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Lully.JPG;207.0;19.0;17.0;31.0;27.0;28.0;33.0;25.0;27.0;10.0;217.0;10.0;217.0;10.0;218.0;10.0;226.0;10.0;209.0;10.0;212.0;10.0;228.0;10.0;2414.90125;437.446020017269
Chêne-Bougeries;Chêne-Bougeries;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Chêne-Bougeries.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;110.0;5.0;110.0;5.0;82.0;4.0;84.0;4.0;85.0;4.0;75.0;4.0;66.0;3.0;1612.2425455;273.122733087398
Chêne-Bougeries;Gradelle;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Gradelle.JPG;238.0;31.0;29.0;34.0;41.0;29.0;30.0;25.0;19.0;11.0;216.0;10.0;185.0;9.0;170.0;8.0;148.0;7.0;141.0;6.0;140.0;6.0;145.0;6.0;2923.5787515;443.983767182128
Choulex;Choulex;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Choulex.JPG;76.0;7.0;10.0;11.0;9.0;14.0;7.0;8.0;10.0;4.0;79.0;4.0;83.0;4.0;79.0;4.0;84.0;4.0;76.0;4.0;75.0;4.0;77.0;4.0;1361.582501;230.458934830092
Corsier;Corsier;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Corsier.JPG;168.0;14.0;21.0;13.0;25.0;21.0;31.0;24.0;19.0;8.0;170.0;8.0;159.0;8.0;162.0;8.0;156.0;8.0;150.0;7.0;146.0;7.0;150.0;7.0;2211.91325;415.123124518656
Dardagny;Dardagny;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Dardagny.JPG;86.0;0.0;0.0;0.0;0.0;13.0;29.0;19.0;25.0;4.0;86.0;4.0;88.0;4.0;78.0;4.0;88.0;4.0;87.0;4.0;81.0;4.0;86.0;4.0;1594.7002005;291.6426094896
Dardagny;La Plaine;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/La Plaine.JPG;64.0;0.0;0.0;28.0;21.0;15.0;0.0;0.0;0.0;3.0;66.0;3.0;65.0;3.0;63.0;3.0;44.0;2.0;43.0;2.0;38.0;2.0;39.0;2.0;451.170001;154.804274542043
Genève-Cité;Ferdinand-Hodler;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Ferdinand-Hodler.JPG;166.0;9.0;13.0;9.0;12.0;28.0;38.0;33.0;24.0;8.0;152.0;7.0;154.0;7.0;148.0;7.0;145.0;7.0;149.0;7.0;149.0;7.0;147.0;7.0;1274.5955985;209.889369556034
Genève-Cité;Pâquis centre;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pâquis centre.JPG;453.0;69.0;41.0;54.0;59.0;68.0;57.0;56.0;49.0;25.0;447.0;24.0;416.0;24.0;430.0;22.0;425.0;22.0;382.0;21.0;372.0;20.0;368.0;19.0;5046.013196;638.8843924968841
Genève-Eaux-Vives;31-Décembre;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/31-Décembre.JPG;166.0;23.0;18.0;21.0;19.0;18.0;23.0;23.0;21.0;8.0;162.0;8.0;160.0;8.0;170.0;8.0;178.0;8.0;153.0;7.0;153.0;7.0;152.0;7.0;1108.393347;236.469198951042
Genève-Eaux-Vives;Le Corbusier;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Le Corbusier.JPG;431.0;41.0;64.0;51.0;65.0;52.0;40.0;60.0;58.0;20.0;425.0;19.0;374.0;19.0;362.0;17.0;361.0;17.0;336.0;16.0;306.0;14.0;233.0;11.0;4298.1249765;678.8320970674
Cologny;Pré-Picot;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pré-Picot.JPG;235.0;42.0;44.0;21.0;20.0;25.0;26.0;33.0;24.0;11.0;207.0;10.0;200.0;10.0;208.0;9.0;223.0;10.0;212.0;10.0;205.0;10.0;203.0;10.0;3141.144097;446.47819300732306
Genève-Petit-Saconnex;Budé II;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Budé II.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1496.015591;351.26236698505005
Genève-Petit-Saconnex;Cayla;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cayla.JPG;287.0;36.0;28.0;37.0;36.0;42.0;35.0;36.0;37.0;15.0;249.0;15.0;252.0;15.0;241.0;14.0;243.0;14.0;234.0;13.0;228.0;12.0;231.0;13.0;2886.8609555;414.95733600814003
Genève-Petit-Saconnex;Charmilles;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Charmilles.JPG;386.0;51.0;39.0;53.0;35.0;48.0;50.0;61.0;49.0;20.0;370.0;19.0;373.0;20.0;367.0;19.0;382.0;19.0;364.0;18.0;374.0;18.0;349.0;17.0;1815.638403;413.46211214578403
Genève-Petit-Saconnex;Crêts;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Crêts.JPG;142.0;43.0;24.0;48.0;27.0;0.0;0.0;0.0;0.0;7.0;136.0;7.0;138.0;7.0;135.0;7.0;137.0;7.0;91.0;5.0;112.0;6.0;132.0;7.0;1595.3881000000001;338.48880684847404
Genève-Petit-Saconnex;Franchises;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Franchises.JPG;171.0;0.0;0.0;0.0;0.0;42.0;41.0;50.0;38.0;8.0;150.0;8.0;137.0;7.0;136.0;7.0;141.0;7.0;157.0;8.0;155.0;8.0;149.0;8.0;2839.8276595;339.37423507104404
Genève-Petit-Saconnex;Les Jardins du Rhône;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Jardins du Rhône.JPG;44.0;12.0;10.0;13.0;9.0;0.0;0.0;0.0;0.0;2.0;41.0;2.0;34.0;2.0;34.0;2.0;37.0;2.0;38.0;2.0;36.0;2.0;35.0;2.0;1210.518247;195.187431842234
Genève-Petit-Saconnex;Sécheron;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Sécheron.JPG;403.0;55.0;33.0;52.0;48.0;55.0;57.0;53.0;50.0;20.0;408.0;19.0;407.0;20.0;410.0;20.0;399.0;20.0;410.0;20.0;404.0;19.0;382.0;19.0;1460.3805105;284.510735406655
Genève-Petit-Saconnex;Trembley CE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Trembley 2.JPG;250.0;50.0;69.0;59.0;72.0;0.0;0.0;0.0;0.0;13.0;244.0;13.0;229.0;12.0;224.0;11.0;279.0;14.0;277.0;13.0;244.0;12.0;236.0;12.0;2118.6982995;439.573632099346
Genève-Petit-Saconnex;Trembley CM;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Trembley 1.JPG;223.0;0.0;0.0;0.0;0.0;67.0;51.0;46.0;59.0;10.0;214.0;11.0;226.0;11.0;252.0;12.0;335.0;15.0;312.0;16.0;312.0;15.0;284.0;13.0;3363.532995;593.37405883882
Genève-Plainpalais;Allobroges;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Allobroges.JPG;205.0;40.0;20.0;30.0;19.0;26.0;20.0;23.0;27.0;11.0;215.0;12.0;232.0;12.0;218.0;12.0;221.0;13.0;216.0;12.0;239.0;13.0;246.0;13.0;2218.006047;399.30683585984303
Genève-Plainpalais;Hugo-de-Senger;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Hugo-de-Senger.JPG;431.0;60.0;50.0;60.0;60.0;50.0;55.0;50.0;46.0;22.0;414.0;22.0;402.0;21.0;382.0;21.0;378.0;21.0;364.0;19.0;368.0;19.0;380.0;20.0;3268.361396;552.977881659198
Genève-Plainpalais;Mail;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Mail.JPG;401.0;43.0;32.0;40.0;47.0;84.0;62.0;51.0;42.0;19.0;401.0;18.0;395.0;17.0;358.0;17.0;361.0;17.0;352.0;17.0;366.0;17.0;359.0;18.0;2760.0418;518.633653081309
Genève-Plainpalais;Peschier;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Peschier.JPG;348.0;46.0;44.0;47.0;45.0;39.0;42.0;45.0;40.0;16.0;333.0;16.0;341.0;16.0;337.0;16.0;330.0;16.0;325.0;16.0;315.0;15.0;301.0;15.0;2212.6720575;388.061900337067
Genève-Plainpalais;Plantaporrêts;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Plantaporrêts.JPG;172.0;34.0;34.0;19.0;32.0;18.0;15.0;20.0;0.0;10.0;136.0;8.0;123.0;7.0;127.0;7.0;99.0;5.0;93.0;5.0;88.0;5.0;75.0;4.0;910.6615505;212.14879803263003
Genthod;Genthod;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Genthod.JPG;154.0;12.0;12.0;22.0;21.0;21.0;22.0;23.0;21.0;7.0;142.0;6.0;149.0;7.0;152.0;7.0;165.0;8.0;172.0;8.0;187.0;9.0;201.0;9.0;2640.529528;453.251375982014
Grand-Saconnex;Grand-Saconnex Tour;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Grand-Saconnex Tour.JPG;409.0;40.0;48.0;60.0;73.0;42.0;56.0;47.0;43.0;19.0;397.0;19.0;387.0;19.0;380.0;18.0;374.0;19.0;381.0;19.0;387.0;18.0;375.0;19.0;2239.218855;504.03732936684503
Lancy;Caroline;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Caroline.JPG;318.0;21.0;36.0;43.0;44.0;35.0;40.0;64.0;35.0;16.0;321.0;16.0;318.0;16.0;311.0;16.0;315.0;15.0;311.0;16.0;326.0;16.0;332.0;17.0;4000.4739105;711.6075091579511
Lancy;Palettes;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Palettes.JPG;496.0;44.0;44.0;47.0;55.0;68.0;77.0;87.0;74.0;26.0;484.0;25.0;470.0;25.0;471.0;26.0;483.0;26.0;513.0;26.0;480.0;25.0;492.0;26.0;5189.079551;865.757675115883
Lancy;Petit-Lancy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Petit-Lancy.JPG;456.0;73.0;70.0;68.0;55.0;52.0;51.0;43.0;44.0;22.0;396.0;19.0;364.0;17.0;332.0;16.0;344.0;16.0;337.0;16.0;336.0;16.0;345.0;16.0;3767.0530505;578.681465601139
Meinier;Meinier;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meinier.JPG;225.0;21.0;29.0;27.0;31.0;34.0;28.0;34.0;21.0;10.0;220.0;10.0;216.0;10.0;211.0;10.0;193.0;9.0;175.0;8.0;175.0;8.0;164.0;8.0;2249.444701;415.575605664671
Meyrin;Cointrin;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cointrin.JPG;141.0;19.0;24.0;17.0;21.0;22.0;17.0;9.0;12.0;7.0;134.0;6.0;108.0;5.0;94.0;5.0;97.0;5.0;95.0;4.0;84.0;4.0;95.0;5.0;1446.3637965;267.858049585538
Carouge;Pervenches;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pervenches.JPG;421.0;39.0;33.0;54.0;58.0;55.0;62.0;62.0;58.0;21.0;389.0;19.0;404.0;20.0;426.0;21.0;426.0;21.0;405.0;20.0;416.0;20.0;379.0;19.0;1816.879048;310.291933180737
Meyrin;Bellavista;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Bellavista.JPG;323.0;51.0;37.0;47.0;35.0;44.0;31.0;38.0;40.0;16.0;284.0;14.0;302.0;15.0;262.0;14.0;279.0;14.0;287.0;14.0;271.0;13.0;263.0;13.0;3405.874999;534.4309007846691
Meyrin;Champs-Fréchets;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Meyrin Champs-Fréchets.JPG;284.0;24.0;33.0;45.0;38.0;27.0;34.0;44.0;39.0;15.0;290.0;15.0;327.0;17.0;295.0;14.0;280.0;14.0;276.0;14.0;259.0;12.0;230.0;11.0;4656.5703965;587.280087208116
Onex;Onex Parc;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Parc.JPG;383.0;41.0;43.0;44.0;58.0;60.0;47.0;46.0;44.0;18.0;386.0;18.0;368.0;18.0;371.0;18.0;353.0;17.0;356.0;17.0;357.0;17.0;357.0;17.0;6597.1163205;1308.63676435464
Vernier;Balexert;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Balexert.JPG;293.0;45.0;26.0;27.0;33.0;30.0;41.0;42.0;49.0;15.0;267.0;14.0;298.0;16.0;309.0;17.0;300.0;17.0;307.0;17.0;321.0;18.0;330.0;18.0;3527.3572475;742.302075295173
Vernier;Vernier-Place;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vernier-Place.JPG;269.0;22.0;40.0;18.0;36.0;36.0;32.0;40.0;45.0;14.0;270.0;14.0;281.0;15.0;287.0;15.0;300.0;15.0;281.0;15.0;293.0;15.0;279.0;15.0;1584.4077535;272.67039763650797
Genève-Eaux-Vives;Contamines;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Contamines.JPG;451.0;57.0;62.0;58.0;59.0;62.0;59.0;44.0;50.0;20.0;424.0;20.0;419.0;20.0;426.0;20.0;374.0;18.0;354.0;17.0;338.0;16.0;318.0;15.0;3645.2443655;484.476457398269
Genève-Plainpalais;Crêts-de-Champel;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Crêts-de-Champel.JPG;247.0;48.0;34.0;25.0;30.0;28.0;24.0;29.0;29.0;11.0;228.0;11.0;251.0;12.0;244.0;12.0;238.0;11.0;230.0;11.0;236.0;11.0;241.0;12.0;3598.3133000000003;474.56674923745703
Genève-Petit-Saconnex;Les Genêts;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Les Genêts.JPG;340.0;44.0;48.0;45.0;32.0;40.0;43.0;48.0;40.0;16.0;311.0;15.0;292.0;15.0;305.0;15.0;315.0;15.0;314.0;14.0;303.0;14.0;278.0;14.0;1892.364756;325.20628914364903
Genève-Cité;Zurich;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Zurich.JPG;119.0;0.0;0.0;0.0;0.0;28.0;29.0;29.0;33.0;6.0;122.0;6.0;128.0;6.0;125.0;6.0;124.0;6.0;124.0;6.0;122.0;6.0;130.0;6.0;781.8079;138.763820544563
Thônex;Adrien-Jeandin;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Thônex Adrien-Jeandin.JPG;278.0;40.0;31.0;39.0;35.0;22.0;45.0;36.0;30.0;13.0;263.0;13.0;242.0;12.0;202.0;10.0;225.0;11.0;229.0;11.0;224.0;11.0;223.0;11.0;2911.2024;355.050546609112
Veyrier;Grand-Salève;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Veyrier.JPG;385.0;41.0;47.0;42.0;57.0;60.0;52.0;41.0;45.0;18.0;351.0;17.0;345.0;15.0;322.0;15.0;329.0;15.0;309.0;14.0;293.0;13.0;174.0;9.0;3772.048401;561.587903884998
Plan-les-Ouates;Serves;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Serves.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.0;5.0;92.0;5.0;96.0;5.0;713.941452;189.93430217370602
Carouge;Val d'Arve;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Val d'Arve.JPG;362.0;48.0;55.0;45.0;46.0;47.0;37.0;44.0;40.0;21.0;358.0;21.0;356.0;20.0;360.0;18.0;340.0;17.0;310.0;17.0;308.0;17.0;318.0;18.0;2644.63645;406.390573028305
Onex;Bosson UCE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Bosson UCE.JPG;176.0;22.0;22.0;17.0;22.0;28.0;21.0;19.0;25.0;8.0;166.0;8.0;166.0;8.0;160.0;8.0;174.0;8.0;168.0;8.0;175.0;8.0;176.0;8.0;1589.279305;274.427128937203
Onex;Bosson;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Bosson.JPG;238.0;38.0;42.0;28.0;20.0;25.0;38.0;23.0;24.0;12.0;220.0;11.0;212.0;11.0;218.0;11.0;228.0;11.0;224.0;11.0;215.0;10.0;203.0;10.0;3428.0091615;542.8643939387531
Chêne-Bourg;Place Favre;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Place Favre.JPG;77.0;18.0;20.0;19.0;20.0;0.0;0.0;0.0;0.0;4.0;79.0;4.0;94.0;5.0;95.0;5.0;94.0;5.0;91.0;5.0;86.0;5.0;74.0;4.0;764.435351;129.81879730488302
Cologny;Cologny-Gerdil;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cologny-Gerdil.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.8217495;104.445715082565
Genève-Petit-Saconnex;Beaulieu;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Beaulieu.JPG;71.0;21.0;14.0;21.0;15.0;0.0;0.0;0.0;0.0;4.0;73.0;4.0;75.0;4.0;74.0;4.0;73.0;4.0;80.0;4.0;81.0;4.0;85.0;4.0;405.3005975;96.6088201369643
Puplinge;Puplinge;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Puplinge.JPG;214.0;31.0;30.0;22.0;22.0;24.0;30.0;26.0;29.0;10.0;216.0;10.0;213.0;10.0;202.0;10.0;194.0;9.0;189.0;9.0;188.0;9.0;188.0;9.0;2322.6143515;359.75826084748803
Vernier;Lignon CE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Lignon élémentaire.JPG;257.0;57.0;60.0;79.0;61.0;0.0;0.0;0.0;0.0;16.0;270.0;15.0;256.0;14.0;224.0;13.0;211.0;13.0;203.0;12.0;214.0;12.0;211.0;13.0;2012.825101;450.673076533756
Lancy;Cérésole;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cérésole.JPG;161.0;22.0;18.0;19.0;22.0;24.0;20.0;21.0;15.0;8.0;167.0;8.0;174.0;8.0;172.0;8.0;172.0;8.0;170.0;8.0;177.0;8.0;184.0;8.0;888.9116799999999;221.794946301282
Thônex;Pont-Bochet;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pont-Bochet.JPG;147.0;19.0;18.0;22.0;19.0;22.0;23.0;11.0;13.0;7.0;140.0;7.0;126.0;7.0;127.0;6.0;125.0;6.0;119.0;6.0;106.0;5.0;104.0;5.0;1741.986749;308.31326476272
Onex;Bellecour;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Onex Belle-Cour.JPG;146.0;16.0;14.0;22.0;22.0;14.0;20.0;18.0;20.0;7.0;144.0;7.0;143.0;7.0;144.0;7.0;145.0;7.0;141.0;7.0;133.0;6.0;141.0;7.0;611.8823;132.862057411576
Carouge;Tours de Carouge;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Tours de Carouge.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.68775;63.350267695742296
Vandoeuvres;Vandoeuvres;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vandoeuvres.JPG;131.0;17.0;21.0;21.0;21.0;7.0;13.0;17.0;14.0;7.0;117.0;6.0;116.0;6.0;106.0;6.0;107.0;5.0;126.0;6.0;125.0;6.0;126.0;6.0;1882.4517;358.93676424724305
Vernier;Aïre;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Aïre.JPG;175.0;28.0;30.0;13.0;19.0;17.0;25.0;26.0;17.0;8.0;164.0;8.0;150.0;7.0;153.0;7.0;147.0;8.0;155.0;8.0;148.0;8.0;155.0;8.0;2629.414751;374.779233318464
Vernier;Libellules;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Libellules.JPG;420.0;59.0;55.0;51.0;61.0;64.0;36.0;46.0;48.0;23.0;401.0;22.0;458.0;25.0;445.0;25.0;420.0;23.0;395.0;21.0;374.0;21.0;367.0;20.0;2971.930945;559.21097594093
Vernier;Lignon CM;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Lignon primaire.JPG;251.0;0.0;0.0;0.0;0.0;67.0;52.0;68.0;64.0;12.0;207.0;11.0;215.0;11.0;213.0;11.0;217.0;12.0;214.0;12.0;224.0;13.0;212.0;12.0;3687.3603085;625.891366576108
Vernier;Ranches CM;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Ranches 2.JPG;217.0;0.0;0.0;0.0;0.0;60.0;52.0;62.0;43.0;11.0;202.0;11.0;182.0;10.0;182.0;11.0;199.0;11.0;185.0;10.0;207.0;10.0;197.0;10.0;2225.521307;365.28579468490005
Versoix;Montfleury;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Versoix Montfleury 1.JPG;280.0;27.0;38.0;30.0;34.0;34.0;39.0;36.0;42.0;14.0;299.0;14.0;295.0;14.0;298.0;14.0;289.0;14.0;316.0;16.0;313.0;15.0;308.0;15.0;2209.3772485;326.833018792954
Veyrier;Bois-gourmand;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bois-gourmand.JPG;282.0;33.0;44.0;28.0;25.0;49.0;33.0;38.0;32.0;13.0;260.0;12.0;234.0;11.0;205.0;10.0;190.0;9.0;194.0;9.0;199.0;9.0;317.0;15.0;2319.3345035;341.648704934265
Collex-Bossy;Collex-Bossy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Collex-Bossy.JPG;151.0;14.0;18.0;19.0;13.0;23.0;20.0;20.0;24.0;7.0;154.0;7.0;161.0;8.0;158.0;7.0;154.0;7.0;145.0;7.0;151.0;8.0;166.0;8.0;1630.7948245;423.303583554018
Céligny;Céligny;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Céligny.JPG;68.0;10.0;12.0;8.0;10.0;7.0;9.0;6.0;6.0;4.0;66.0;3.0;56.0;3.0;58.0;3.0;50.0;3.0;46.0;3.0;48.0;3.0;58.0;3.0;552.78;141.076755403544
Satigny;Satigny Mairie;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Satigny Mairie.JPG;144.0;0.0;0.0;0.0;0.0;40.0;42.0;37.0;25.0;7.0;142.0;7.0;109.0;5.0;109.0;5.0;110.0;5.0;100.0;5.0;88.0;4.0;94.0;5.0;1850.96665;330.10731350773
Versoix;Lachenal;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Versoix Lachenal.JPG;335.0;35.0;43.0;38.0;48.0;47.0;45.0;33.0;46.0;17.0;348.0;17.0;344.0;16.0;330.0;17.0;324.0;16.0;324.0;17.0;336.0;17.0;343.0;17.0;3403.653154;671.961219891529
Grand-Saconnex;Grand-Saconnex Pommier;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Grand-Saconnex Pommier.JPG;340.0;39.0;46.0;44.0;23.0;58.0;46.0;41.0;43.0;16.0;336.0;16.0;331.0;16.0;342.0;16.0;349.0;17.0;340.0;16.0;341.0;16.0;350.0;17.0;4277.0375075;522.603894841636
Thônex;Bois-des-Arts;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Thônex Bois-des-Arts.JPG;253.0;22.0;33.0;27.0;36.0;39.0;24.0;38.0;34.0;13.0;262.0;13.0;261.0;13.0;260.0;13.0;273.0;14.0;270.0;13.0;292.0;15.0;301.0;15.0;2616.29525;438.44054634825403
Genève-Petit-Saconnex;Les Ouches;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Ouches.JPG;201.0;13.0;24.0;21.0;24.0;33.0;27.0;29.0;30.0;9.0;212.0;10.0;189.0;9.0;209.0;10.0;219.0;11.0;232.0;12.0;251.0;13.0;270.0;14.0;2572.873744;325.359681876966
Plan-les-Ouates;Champ-Joly CE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Petites Fontaines.JPG;211.0;44.0;53.0;56.0;58.0;0.0;0.0;0.0;0.0;10.0;162.0;8.0;212.0;10.0;230.0;12.0;179.0;9.0;168.0;8.0;174.0;8.0;167.0;8.0;1272.0207015;160.53026678831802
Satigny;Satigny Village;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Satigny Village2.JPG;361.0;58.0;63.0;70.0;60.0;27.0;36.0;19.0;28.0;17.0;368.0;17.0;372.0;17.0;349.0;17.0;332.0;16.0;306.0;15.0;296.0;14.0;280.0;14.0;3230.152799;452.334897430265
Thônex;Pavillon Mousse;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pavillon Mousse.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;516.9695;115.8324792095
Carouge;Vigne Rouge;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vigne Rouge.JPG;165.0;20.0;17.0;17.0;22.0;23.0;24.0;23.0;19.0;8.0;167.0;8.0;167.0;8.0;171.0;8.0;164.0;8.0;164.0;8.0;157.0;8.0;134.0;7.0;1516.060584;231.061605893463
Vernier;Bourquin;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bourquin.JPG;83.0;26.0;35.0;0.0;22.0;0.0;0.0;0.0;0.0;4.0;69.0;4.0;54.0;3.0;55.0;4.0;80.0;4.0;71.0;4.0;57.0;3.0;56.0;3.0;576.3886210000001;118.89590977595302
