COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Genève-Plainpalais;Dumas;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Dumas.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;604.6384015;126.091782001089
Genève-Plainpalais;Pré-Jérôme;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pré-Jérôme.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;422.4193;91.02507916116579
Genève-Plainpalais;Minoteries;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Minoteries.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;919.516699;162.711436973268
Avully;Gennecy;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Gennecy.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;303.96500000000003;76.8771925425847
Onex;Bois-Carrien;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bois-Carrien.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1174.934504;246.175793055565
Genève-Eaux-Vives;Montchoisy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Montchoisy.JPG;93.0;18.0;18.0;31.0;26.0;0.0;0.0;0.0;0.0;5.0;112.0;6.0;121.0;6.0;107.0;6.0;103.0;5.0;96.0;5.0;96.0;5.0;97.0;5.0;676.172401;163.639143014447
Genève-Petit-Saconnex;Pavillons d'Aïre;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pavillons d'Aïre.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.3722145;210.912862705562
Bellevue;Bellevue;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bellevue.JPG;347.0;44.0;33.0;58.0;48.0;38.0;45.0;36.0;45.0;16.0;328.0;16.0;344.0;16.0;320.0;15.0;299.0;15.0;305.0;15.0;310.0;15.0;290.0;15.0;2479.051903;399.633080710915
Genève-Petit-Saconnex;Europe;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Europe.JPG;282.0;36.0;35.0;35.0;30.0;40.0;42.0;33.0;31.0;15.0;287.0;15.0;279.0;15.0;265.0;14.0;264.0;14.0;233.0;13.0;231.0;13.0;232.0;13.0;2754.518204;477.336721681114
Pregny-Chambésy;Pregny-Valérie;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Pregny-Valérie.JPG;102.0;0.0;0.0;0.0;0.0;28.0;23.0;22.0;29.0;5.0;96.0;5.0;106.0;4.0;98.0;4.0;101.0;4.0;91.0;4.0;95.0;4.0;86.0;4.0;1569.6943475;215.34534106436
Presinge;Presinge;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Presinge.JPG;57.0;0.0;0.0;0.0;12.0;18.0;10.0;11.0;6.0;3.0;62.0;3.0;28.0;2.0;33.0;2.0;37.0;2.0;40.0;2.0;43.0;2.0;38.0;2.0;236.47035;61.0773297700976
Plan-les-Ouates;Arare;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Arare.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;1.0;18.0;1.0;20.0;1.0;115.0885495;51.377195442175804
Thônex;Thônex-Tronchet;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Thônex-Tronchet.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;306.23235;85.3053971833402
Russin;Russin;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Russin.JPG;44.0;15.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;45.0;2.0;42.0;2.0;39.0;2.0;38.0;2.0;34.0;2.0;35.0;2.0;44.0;2.0;431.725;101.366664599222
Satigny;Satigny Temple;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Satigny Temple.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;255.0372495;73.0122532347371
Vernier;Ranches Village CE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Ranches 1 Village.JPG;35.0;0.0;0.0;17.0;18.0;0.0;0.0;0.0;0.0;2.0;34.0;2.0;34.0;2.0;27.0;2.0;32.0;2.0;37.0;2.0;33.0;2.0;31.0;2.0;304.1928505;86.9411420289739
Vernier;Ranches CE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Ranches 1.JPG;208.0;67.0;51.0;54.0;36.0;0.0;0.0;0.0;0.0;11.0;201.0;11.0;199.0;12.0;198.0;11.0;177.0;10.0;175.0;10.0;146.0;8.0;151.0;8.0;587.190251;120.213229474039
Versoix;Ami-Argand;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Ami-Argand.JPG;351.0;26.0;25.0;37.0;50.0;31.0;70.0;63.0;49.0;15.0;328.0;14.0;327.0;15.0;285.0;14.0;301.0;15.0;312.0;15.0;305.0;15.0;325.0;15.0;2371.3517;320.44890959757606
Vernier;Poussy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Poussy.JPG;48.0;18.0;0.0;16.0;14.0;0.0;0.0;0.0;0.0;3.0;45.0;3.0;54.0;3.0;56.0;3.0;46.0;3.0;57.0;3.0;51.0;3.0;53.0;3.0;552.1275005;107.26215899013
Vernier;Châtelaine;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Châtelaine.JPG;165.0;0.0;0.0;33.0;0.0;25.0;31.0;35.0;41.0;9.0;165.0;9.0;175.0;9.0;172.0;9.0;164.0;9.0;159.0;9.0;168.0;9.0;150.0;8.0;721.324847;145.979497006035
Versoix;Courvoisier;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Versoix Courvoisier.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;376.1517485;92.1195173021751
