id,updated,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,lastName,number,party,partyName,pictureUrl
1153,2019-11-26T10:45:26Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1153,ZH,Zurich,S,RL,Groupe libéral-radical,Ruedi,Membre,www.ruedinoser.ch,Noser,2619,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2619.jpg
172,2019-11-28T16:19:12Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=172,SG,St-Gall,S,S,Groupe socialiste,Paul,Membre,www.paulrechsteiner.ch,Rechsteiner,2143,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2143.jpg
4316,2020-04-16T09:49:13Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4316,SZ,Schwyz,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Othmar,Membre,www.othmarreichmuth.ch,Reichmuth,3212,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3212.jpg
4204,2019-11-28T12:12:50Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4204,VS,Valais,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Beat,Membre,www.beat-rieder.ch,Rieder,3105,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3105.jpg
4172,2020-02-24T09:44:51Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4172,BE,Berne,S,V,Groupe de l'Union démocratique du Centre,Werner,Membre,www.werner-salzmann.ch,Salzmann,3092,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3092.jpg
4078,2019-10-22T15:31:50Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4078,GR,Grisons,S,RL,Groupe libéral-radical,Martin,Membre,,Schmid,2783,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2783.jpg
1120,2020-06-26T10:18:27Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1120,GE,Genève,S,S,Groupe socialiste,Carlo,Membre,www.carlo-sommaruga.ch,Sommaruga,2632,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2632.jpg
4241,2019-12-13T16:04:33Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4241,TG,Thurgovie,S,V,Groupe de l'Union démocratique du Centre,Jakob,Membre,jakob-stark.ch,Stark,3196,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3196.jpg
1267,2016-11-09T13:04:48Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1267,BE,Berne,S,S,Groupe socialiste,Hans,Membre,www.hansstoeckli.ch,Stöckli,2647,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2647.jpg
3907,2019-10-22T15:28:15Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3907,VD,Vaud,S,G,Groupe des Verts,Adèle,Membre,www.adelethorens.ch,Thorens Goumaz,2710,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2710.jpg
4242,2019-12-13T16:09:46Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4242,NE,Neuchâtel,S,G,Groupe des Verts,Céline,Membre,,Vara,3197,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3197.jpg
4152,2019-12-13T15:47:45Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4152,NW,Nidwald,S,RL,Groupe libéral-radical,Hans,Membre,www.wickihans.ch,Wicki,3054,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3054.jpg
4237,2020-06-10T11:00:33Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4237,SG,St-Gall,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Benedikt,Membre,www.beni-wuerth.ch,Würth,3136,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3136.jpg
525,2020-04-16T09:35:35Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=525,SO,Soleure,S,S,Groupe socialiste,Roberto,Membre,www.robertozanetti.ch,Zanetti,2546,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2546.jpg
4243,2020-06-09T09:20:05Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4243,UR,Uri,S,M-CEB,Le groupe du centre. PDC-PEV-PBD.,Heidi,Membre,www.heidizgraggen.ch,Z'graggen,3198,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3198.jpg
4244,2020-06-30T10:21:02Z,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4244,GL,Glaris,S,G,Groupe des Verts,Mathias,Membre,www.mathiaszopfi.ch,Zopfi,3199,PES,Parti écologiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3199.jpg
