"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua-et-Barbuda","ATG","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","9999.99977648258","3000000","2059999.94277954","3109999.89509583","5380000.11444092","3599999.90463257","3279999.97138977","5500000","9039999.96185303","4949999.80926514","3369999.88555908","2359999.89509583","2950000.04768372","5050000.19073486","5559999.94277954","8449999.80926514","4340000.15258789","4610000.1335144","7230000.01907349","4670000.07629395","3000000","4159999.84741211","2269999.98092651","3869999.88555908","4349999.90463257","9979999.54223633","10840000.1525879","9880000.11444092","8579999.92370605","13510000.2288818","5630000.11444092","1899999.97615814","8060000.4196167","3279999.97138977","4989999.77111816","6070000.17166138","4260000.22888184","19659999.8474121","15420000.0762939","2089999.91416931","1590000.0333786","2549999.95231628","1490000.00953674","180000.007152557","10300000.1907349","17590000.1525879","27440000.5340576","",
"Australie","AUS","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Autriche","AUT","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaïdjan","AZE","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000.011920929","7429999.82833862","23870000.8392334","149039993.286133","119540000.915527","96360000.6103516","184059997.558594","120360000.610352","171000000","140610000.610352","230910003.662109","350809997.558594","302029998.779297","175830001.831055","210399993.896484","203850006.103516","213309997.558594","225100006.103516","217580001.831055","156479995.727539","287769989.013672","286790008.544922","-70830001.8310547","216740005.493164","69580001.8310547","79430000.3051758","123529998.779297","87410003.6621094","120980003.356934","",
"Burundi","BDI","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","7530000.20980835","7190000.05722046","11069999.6948242","6159999.84741211","8090000.15258789","4860000.1335144","8930000.30517578","10409999.8474121","12970000.2670288","14930000.3051758","17670000.0762939","21680000.3051758","25760000.2288818","26860000.6103516","37349998.4741211","47470001.2207031","43799999.2370605","47639999.3896484","73910003.6621094","94339996.3378906","115949996.948242","120650001.525879","125400001.525879","137610000.610352","137669998.168945","137160003.662109","191309997.558594","196619995.117188","200500000","206240005.493164","262549987.792969","256399993.896484","309279998.779297","216949996.948242","311109985.351563","286950012.207031","110519996.643066","56400001.5258789","68750000","75099998.4741211","93309997.5585938","139250000","171910003.662109","227600006.103516","358820007.324219","365579986.572266","432019989.013672","504549987.792969","520429992.675781","575750000","627609985.351563","572239990.234375","524169982.910156","558830017.089844","515400024.414063","366559997.558594","742640014.648438","435820007.324219","451079986.572266","588940002.441406","",
"Belgique","BEL","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bénin","BEN","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","19999.9995529652","1480000.01907349","3750000","4260000.22888184","18069999.6948242","17879999.1607666","14920000.0762939","16270000.4577637","13140000.3433228","13140000.3433228","14739999.7711182","28979999.5422363","20040000.9155273","26479999.5422363","33069999.6948242","54110000.6103516","50750000","48819999.6948242","60340000.1525879","84610000.6103516","88230003.3569336","81239997.8637695","79699996.9482422","84930000.3051758","75029998.7792969","93910003.6621094","134669998.168945","133699996.948242","157970001.220703","267869995.117188","266880004.882813","265660003.662109","269040008.544922","287760009.765625","256380004.882813","280559997.558594","288290008.544922","221149993.896484","205229995.727539","212440002.441406","244770004.272461","280420013.427734","221539993.286133","301989990.234375","391790008.544922","349079986.572266","400309997.558594","475290008.544922","636719970.703125","677559997.558594","689270019.53125","672609985.351563","507880004.882813","660200012.207031","599320007.324219","436630004.882813","500760009.765625","680000000","574619995.117188","602210021.972656","",
"Burkina Faso","BFA","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","200000.002980232","1350000.02384186","4429999.82833862","4139999.8664856","15399999.6185303","17270000.4577637","16860000.6103516","19620000.8392334","22809999.4659424","24000000","21989999.7711182","28790000.9155273","34319999.6948242","56900001.5258789","96319999.6948242","88500000","79870002.746582","109069999.694824","156880004.882813","196160003.662109","209960006.713867","214830001.831055","210190002.441406","181139999.389648","182979995.727539","188490005.493164","268910003.662109","268179992.675781","286779998.779297","265279998.779297","326529998.779297","419649993.896484","433380004.882813","468989990.234375","433100006.103516","490450012.207031","419239990.234375","369109985.351563","400119995.117188","398760009.765625","179779998.779297","390940002.441406","440269989.013672","540840026.855469","647380004.882813","698190002.441406","900549987.792969","942719970.703125","1000380004.88281","1083699951.17188","1044619995.11719","981979980.46875","1152319946.28906","1045079956.05469","1123359985.35156","998390014.648438","1029479980.46875","892150024.414063","1108790039.0625","1148810058.59375","",
"Bangladesh","BGD","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","15359999.6566772","223759994.506836","421470001.220703","531390014.648438","1055180053.71094","491809997.558594","772419982.910156","958719970.703125","1122180053.71094","1229310058.59375","1054290039.0625","1304069946.28906","993260009.765625","1109040039.0625","982750000","1287989990.23438","1619000000","1392609985.35156","1482660034.17969","1788900024.41406","1612219970.70313","1498650024.41406","1165369995.11719","1384750000","1033109985.35156","964880004.882813","863150024.414063","979549987.792969","1005429992.67578","976340026.855469","918450012.207031","807400024.414063","1301790039.0625","1421300048.82813","1251619995.11719","1027819946.28906","1308520019.53125","1765829956.05469","1082760009.76563","1327329956.05469","1437520019.53125","2154050048.82813","2633590087.89063","2422639892.57813","2592909912.10938","2532820068.35938","3781770019.53125","3044679931.64063","4482600097.65625","",
"Bulgarie","BGR","Aide publique au développement nette reçue ($ US courants)","DT.ODA.ODAT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
